,tf_idf_weights
sherrick,4.321432413193293
enjoyed,4.321432413193293
otherwise,4.321432413193293
de,4.321432413193293
whether,4.321432413193293
dated,4.321432413193293
chris,4.321432413193293
congratulations,4.321432413193293
jack,4.321432413193293
always,4.321432413193293
sign,4.321432413193293
forum,4.321432413193293
employees,4.321432413193293
fun,4.321432413193293
major,4.321432413193293
6894,4.321432413193293
networks,4.321432413193293
choice,4.321432413193293
prior,4.321432413193293
big,4.321432413193293
andrew,4.321432413193293
california,4.321432413193293
left,4.321432413193293
round,4.321432413193293
hold,4.321432413193293
00am,4.321432413193293
hbs,4.321432413193293
33,4.321432413193293
myself,4.321432413193293
highly,4.321432413193293
approval,4.321432413193293
national,4.321432413193293
directly,4.321432413193293
necessary,4.321432413193293
run,4.321432413193293
research,4.321432413193293
difficult,4.321432413193293
butler,4.321432413193293
yesterday,4.321432413193293
resources,4.321432413193293
convenience,4.321432413193293
cost,4.321432413193293
conversation,4.321432413193293
thing,4.321432413193293
1999,4.321432413193293
every,4.321432413193293
position,4.321432413193293
access,4.321432413193293
taylor,4.321432413193293
informal,4.321432413193293
view,4.321432413193293
areas,4.321432413193293
ready,4.321432413193293
late,4.321432413193293
oct,4.321432413193293
exact,4.321432413193293
period,4.321432413193293
dorothy,4.321432413193293
danny,4.321432413193293
tom,4.321432413193293
carter,4.321432413193293
ny,4.321432413193293
months,4.321432413193293
recent,4.321432413193293
york,4.321432413193293
detail,4.321432413193293
150,4.426792928851119
focus,4.426792928851119
file,4.426792928851119
austin,4.426792928851119
keeping,4.426792928851119
likely,4.426792928851119
present,4.426792928851119
coo,4.426792928851119
under,4.426792928851119
turn,4.426792928851119
executives,4.426792928851119
keith,4.426792928851119
format,4.426792928851119
town,4.426792928851119
kathy,4.426792928851119
total,4.426792928851119
bruce,4.426792928851119
read,4.426792928851119
real,4.426792928851119
greatly,4.426792928851119
recall,4.426792928851119
importance,4.426792928851119
therefore,4.426792928851119
registration,4.426792928851119
carol,4.426792928851119
care,4.426792928851119
tickets,4.426792928851119
holidays,4.426792928851119
holiday,4.426792928851119
three,4.426792928851119
haven,4.426792928851119
yahoo,4.426792928851119
reports,4.426792928851119
required,4.426792928851119
class,4.426792928851119
kcompton,4.426792928851119
introduction,4.426792928851119
quarter,4.426792928851119
summer,4.426792928851119
sending,4.426792928851119
july,4.426792928851119
jordan,4.426792928851119
jones,4.426792928851119
support,4.426792928851119
committee,4.426792928851119
700,4.426792928851119
away,4.426792928851119
commerce,4.426792928851119
coming,4.426792928851119
gary,4.426792928851119
system,4.426792928851119
taken,4.426792928851119
colorado,4.426792928851119
proposed,4.426792928851119
selected,4.426792928851119
public,4.426792928851119
add,4.426792928851119
investors,4.426792928851119
line,4.426792928851119
economy,4.426792928851119
link,4.426792928851119
doesn,4.426792928851119
luck,4.426792928851119
upcoming,4.426792928851119
customer,4.426792928851119
numbers,4.426792928851119
views,4.426792928851119
downtown,4.426792928851119
drive,4.426792928851119
park,4.426792928851119
ann,4.426792928851119
room,4.426792928851119
along,4.426792928851119
makes,4.426792928851119
pai,4.426792928851119
47,4.426792928851119
ed,4.426792928851119
managing,4.426792928851119
started,4.426792928851119
et,4.426792928851119
membership,4.426792928851119
delainey,4.426792928851119
arrangements,4.426792928851119
markets,4.426792928851119
america,4.426792928851119
although,4.426792928851119
marshall,4.426792928851119
mckinsey,4.426792928851119
using,4.426792928851119
used,4.426792928851119
space,4.426792928851119
document,4.426792928851119
dave,4.426792928851119
apologies,4.426792928851119
non,4.426792928851119
msn,4.426792928851119
discussed,4.426792928851119
must,4.426792928851119
example,4.426792928851119
discussing,4.426792928851119
brian,4.426792928851119
needs,4.426792928851119
corporation,4.426792928851119
software,4.426792928851119
appreciated,4.426792928851119
website,4.426792928851119
spend,4.544575964507503
spoke,4.544575964507503
spoken,4.544575964507503
businesses,4.544575964507503
action,4.544575964507503
2nd,4.544575964507503
wondering,4.544575964507503
show,4.544575964507503
applications,4.544575964507503
clients,4.544575964507503
went,4.544575964507503
arrange,4.544575964507503
require,4.544575964507503
yours,4.544575964507503
copies,4.544575964507503
arrive,4.544575964507503
dietrich,4.544575964507503
background,4.544575964507503
itself,4.544575964507503
solutions,4.544575964507503
212,4.544575964507503
jackson,4.544575964507503
question,4.544575964507503
generally,4.544575964507503
oil,4.544575964507503
slipped,4.544575964507503
things,4.544575964507503
south,4.544575964507503
htm,4.544575964507503
morgan,4.544575964507503
ideas,4.544575964507503
site,4.544575964507503
times,4.544575964507503
worth,4.544575964507503
hoping,4.544575964507503
oak,4.544575964507503
noon,4.544575964507503
tel,4.544575964507503
called,4.544575964507503
special,4.544575964507503
across,4.544575964507503
incredibly,4.544575964507503
jennifer,4.544575964507503
individuals,4.544575964507503
industries,4.544575964507503
dissemination,4.544575964507503
ticket,4.544575964507503
charge,4.544575964507503
homecoming,4.544575964507503
ebs,4.544575964507503
describe,4.544575964507503
hard,4.544575964507503
derrick,4.544575964507503
discussions,4.544575964507503
range,4.544575964507503
x3,4.544575964507503
moment,4.544575964507503
dr,4.544575964507503
jana,4.544575964507503
dalton,4.544575964507503
located,4.544575964507503
juno,4.544575964507503
continue,4.544575964507503
map,4.544575964507503
founder,4.544575964507503
fellow,4.544575964507503
founded,4.544575964507503
aspen,4.544575964507503
without,4.544575964507503
attendees,4.544575964507503
never,4.544575964507503
fifth,4.544575964507503
everything,4.544575964507503
pretty,4.544575964507503
attention,4.544575964507503
availability,4.544575964507503
compton,4.544575964507503
concerns,4.544575964507503
material,4.544575964507503
rosalee,4.544575964507503
participation,4.544575964507503
looks,4.544575964507503
koenig,4.544575964507503
partner,4.544575964507503
white,4.544575964507503
pre,4.544575964507503
partnership,4.544575964507503
fleming,4.544575964507503
cst,4.544575964507503
stark,4.544575964507503
pledge,4.544575964507503
data,4.544575964507503
especially,4.544575964507503
why,4.544575964507503
enrononline,4.544575964507503
phil,4.544575964507503
strategy,4.544575964507503
committed,4.544575964507503
exchange,4.544575964507503
eott,4.544575964507503
excellent,4.544575964507503
level,4.544575964507503
expected,4.544575964507503
liz,4.544575964507503
four,4.544575964507503
eric,4.544575964507503
ahead,4.544575964507503
external,4.544575964507503
service,4.544575964507503
training,4.544575964507503
session,4.544575964507503
story,4.544575964507503
fredinvt,4.544575964507503
travelling,4.544575964507503
product,4.544575964507503
understanding,4.678107357132025
brenda,4.678107357132025
case,4.678107357132025
yes,4.678107357132025
waiting,4.678107357132025
99,4.678107357132025
created,4.678107357132025
williams,4.678107357132025
bob,4.678107357132025
credit,4.678107357132025
expect,4.678107357132025
web,4.678107357132025
appears,4.678107357132025
attachments,4.678107357132025
attending,4.678107357132025
title,4.678107357132025
guy,4.678107357132025
facility,4.678107357132025
brent,4.678107357132025
asap,4.678107357132025
build,4.678107357132025
activities,4.678107357132025
actually,4.678107357132025
gentlemen,4.678107357132025
asp,4.678107357132025
bike,4.678107357132025
elvis,4.678107357132025
bringing,4.678107357132025
decision,4.678107357132025
full,4.678107357132025
fully,4.678107357132025
decided,4.678107357132025
equipment,4.678107357132025
fund,4.678107357132025
administrator,4.678107357132025
vacation,4.678107357132025
commitment,4.678107357132025
ask,4.678107357132025
fyi,4.678107357132025
west,4.678107357132025
client,4.678107357132025
community,4.678107357132025
clear,4.678107357132025
delighted,4.678107357132025
ceos,4.678107357132025
chair,4.678107357132025
donovan,4.678107357132025
austinventures,4.678107357132025
customers,4.678107357132025
accept,4.678107357132025
accepted,4.678107357132025
forbidden,4.678107357132025
formal,4.678107357132025
causey,4.678107357132025
destroy,4.678107357132025
beta,4.678107357132025
evaluate,4.678107357132025
gone,4.678107357132025
avenue,4.678107357132025
billion,4.678107357132025
charlene,4.678107357132025
bp,4.678107357132025
acquisition,4.678107357132025
edward,4.678107357132025
designed,4.678107357132025
field,4.678107357132025
beverly,4.678107357132025
her,4.678107357132025
pdf,4.678107357132025
payment,4.678107357132025
paxton,4.678107357132025
patrick,4.678107357132025
kimberly,4.678107357132025
kind,4.678107357132025
shelly,4.678107357132025
knowing,4.678107357132025
particular,4.678107357132025
knowledge,4.678107357132025
participating,4.678107357132025
6161,4.678107357132025
own,4.678107357132025
larsen,4.678107357132025
owens,4.678107357132025
key,4.678107357132025
outstanding,4.678107357132025
she,4.678107357132025
kelley,4.678107357132025
professionals,4.678107357132025
problems,4.678107357132025
jerry,4.678107357132025
press,4.678107357132025
suzanne,4.678107357132025
susan,4.678107357132025
posted,4.678107357132025
johnson,4.678107357132025
possibility,4.678107357132025
point,4.678107357132025
pledges,4.678107357132025
planned,4.678107357132025
judy,4.678107357132025
jun,4.678107357132025
stand,4.678107357132025
kelly,4.678107357132025
profile,4.678107357132025
ots,4.678107357132025
operations,4.678107357132025
steps,4.678107357132025
sound,4.678107357132025
sounds,4.678107357132025
manage,4.678107357132025
month,4.678107357132025
marconi,4.678107357132025
marekbros,4.678107357132025
stanmarek,4.678107357132025
stanley,4.678107357132025
specifically,4.678107357132025
maureen,4.678107357132025
maybe,4.678107357132025
member,4.678107357132025
mcvicker,4.678107357132025
meetings,4.678107357132025
stop,4.678107357132025
side,4.678107357132025
neil,4.678107357132025
strong,4.678107357132025
operational,4.678107357132025
operating,4.678107357132025
lauren,4.678107357132025
significant,4.678107357132025
lead,4.678107357132025
leadership,4.678107357132025
leading,4.678107357132025
learn,4.678107357132025
officer,4.678107357132025
offering,4.678107357132025
situation,4.678107357132025
leave,4.678107357132025
leff,4.678107357132025
57,4.678107357132025
legally,4.678107357132025
listed,4.678107357132025
talked,4.678107357132025
kay,4.678107357132025
recruiting,4.678107357132025
ross,4.678107357132025
reason,4.678107357132025
hobby,4.678107357132025
school,4.678107357132025
role,4.678107357132025
insights,4.678107357132025
home,4.678107357132025
thinking,4.678107357132025
says,4.678107357132025
requests,4.678107357132025
reservation,4.678107357132025
reservations,4.678107357132025
rob,4.678107357132025
sales,4.678107357132025
hopes,4.678107357132025
responding,4.678107357132025
riding,4.678107357132025
invited,4.678107357132025
sandy,4.678107357132025
hr,4.678107357132025
8th,4.678107357132025
thinks,4.678107357132025
third,4.678107357132025
hosts,4.678107357132025
quickly,4.678107357132025
thomas,4.678107357132025
thornton,4.678107357132025
determined,4.832258036959283
wedding,4.832258036959283
bridget,4.832258036959283
developing,4.832258036959283
rocky,4.832258036959283
dick,4.832258036959283
routes,4.832258036959283
yourself,4.832258036959283
smu,4.832258036959283
nigel,4.832258036959283
approaching,4.832258036959283
earlier,4.832258036959283
welch,4.832258036959283
approved,4.832258036959283
education,4.832258036959283
effort,4.832258036959283
analysts,4.832258036959283
sam,4.832258036959283
bio,4.832258036959283
eharris,4.832258036959283
amy,4.832258036959283
designate,4.832258036959283
billy,4.832258036959283
electricity,4.832258036959283
rubin,4.832258036959283
electronic,4.832258036959283
